time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_stamp,field.pressure,field.variance
1680791217657998478,800330,1680791217657998478,,1680791217657998478,56.08014678955078,0.0
1680791217663489104,800331,1680791217663489104,,1680791217663489104,56.07965087890625,0.0
1680791217668229874,800332,1680791217668229874,,1680791217668229874,56.07774353027344,0.0
1680791217673657020,800333,1680791217673657020,,1680791217673657020,56.076995849609375,0.0
1680791217678235339,800334,1680791217678235339,,1680791217678235339,56.079994201660156,0.0
1680791217683048226,800335,1680791217683048226,,1680791217683048226,56.07707977294922,0.0
1680791217688508445,800336,1680791217688508445,,1680791217688508445,56.08006286621094,0.0
1680791217693214327,800337,1680791217693214327,,1680791217693214327,56.078704833984375,0.0
1680791217698017889,800338,1680791217698017889,,1680791217698017889,56.07991027832031,0.0
1680791217703521411,800339,1680791217703521411,,1680791217703521411,56.083099365234375,0.0
1680791217708245241,800340,1680791217708245241,,1680791217708245241,56.08489990234375,0.0
1680791217713678806,800341,1680791217713678806,,1680791217713678806,56.084999084472656,0.0
1680791217718272118,800342,1680791217718272118,,1680791217718272118,56.08405303955078,0.0
1680791217723039540,800343,1680791217723039540,,1680791217723039540,56.08522033691406,0.0
1680791217728510078,800344,1680791217728510078,,1680791217728510078,56.08172607421875,0.0
1680791217733226951,800345,1680791217733226951,,1680791217733226951,56.077545166015625,0.0
1680791217738042696,800346,1680791217738042696,,1680791217738042696,56.08082580566406,0.0
1680791217743512400,800347,1680791217743512400,,1680791217743512400,56.07771301269531,0.0
1680791217748257420,800348,1680791217748257420,,1680791217748257420,56.078086853027344,0.0
1680791217753004790,800349,1680791217753004790,,1680791217753004790,56.079193115234375,0.0
1680791217758530169,800350,1680791217758530169,,1680791217758530169,56.079689025878906,0.0
1680791217763199302,800351,1680791217763199302,,1680791217763199302,56.08032989501953,0.0
1680791217768032592,800352,1680791217768032592,,1680791217768032592,56.08313751220703,0.0
1680791217773518528,800353,1680791217773518528,,1680791217773518528,56.08259582519531,0.0
1680791217778373248,800354,1680791217778373248,,1680791217778373248,56.084083557128906,0.0
1680791217783712656,800355,1680791217783712656,,1680791217783712656,56.082427978515625,0.0
1680791217788328397,800356,1680791217788328397,,1680791217788328397,56.08097839355469,0.0
1680791217793024867,800357,1680791217793024867,,1680791217793024867,56.0811767578125,0.0
1680791217798518673,800358,1680791217798518673,,1680791217798518673,56.079132080078125,0.0
1680791217803210321,800359,1680791217803210321,,1680791217803210321,56.08001708984375,0.0
1680791217808673878,800360,1680791217808673878,,1680791217808673878,56.076393127441406,0.0
1680791217813270720,800361,1680791217813270720,,1680791217813270720,56.07841491699219,0.0
1680791217818012132,800362,1680791217818012132,,1680791217818012132,56.07881164550781,0.0
1680791217823483128,800363,1680791217823483128,,1680791217823483128,56.07606506347656,0.0
1680791217828227905,800364,1680791217828227905,,1680791217828227905,56.07743835449219,0.0
1680791217833715230,800365,1680791217833715230,,1680791217833715230,56.077903747558594,0.0
1680791217838360680,800366,1680791217838360680,,1680791217838360680,56.07801818847656,0.0
1680791217843065260,800367,1680791217843065260,,1680791217843065260,56.08049011230469,0.0
1680791217848567741,800368,1680791217848567741,,1680791217848567741,56.08191680908203,0.0
1680791217853197237,800369,1680791217853197237,,1680791217853197237,56.07725524902344,0.0
1680791217858013186,800370,1680791217858013186,,1680791217858013186,56.07428741455078,0.0
1680791217863505011,800371,1680791217863505011,,1680791217863505011,56.07447814941406,0.0
1680791217868235821,800372,1680791217868235821,,1680791217868235821,56.07044982910156,0.0
