time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_stamp,field.sound_speed,field.temperature,field.pressure,field.range0,field.range1,field.range2,field.range3,field.velocity_beam0,field.velocity_beam1,field.velocity_beam2,field.velocity_beam3,field.fom_beam0,field.fom_beam1,field.fom_beam2,field.fom_beam3,field.dt1_beam0,field.dt1_beam1,field.dt1_beam2,field.dt1_beam3,field.dt2_beam0,field.dt2_beam1,field.dt2_beam2,field.dt2_beam3,field.time_beam0,field.time_beam1,field.time_beam2,field.time_beam3,field.velocity_xyzz0,field.velocity_xyzz1,field.velocity_xyzz2,field.velocity_xyzz3,field.fom_xyzz0,field.fom_xyzz1,field.fom_xyzz2,field.fom_xyzz3,field.dt1_xyzz0,field.dt1_xyzz1,field.dt1_xyzz2,field.dt1_xyzz3,field.dt2_xyzz0,field.dt2_xyzz1,field.dt2_xyzz2,field.dt2_xyzz3,field.time_xyzz0,field.time_xyzz1,field.time_xyzz2,field.time_xyzz3
1680791200176588497,31873,1680791200176588497,dvl,1680791190375699996,1500.0,11.96160888671875,55.22380065917969,1.445531964302063,1.2416167259216309,1.3435744047164917,1.445531964302063,0.125360906124115,-0.08953346312046051,-0.09496837109327316,0.12165016680955887,0.0002459757961332798,0.00020396357285790145,0.0001239929988514632,0.00012633876758627594,0.011519666761159897,0.011444666422903538,0.0117446668446064,0.011519666761159897,-0.14568233489990234,-0.14575733244419098,-0.14545734226703644,-0.14568233489990234,0.002453333232551813,0.0021533332765102386,0.0030533333774656057,0.002453333232551813,0.00830668956041336,0.3631511926651001,0.01673978567123413,0.017702195793390274,0.0003074847918469459,0.00030748473363928497,0.00015171976701822132,0.000132241053506732,0.0117446668446064,0.0117446668446064,0.0117446668446064,0.011519666761159897,-0.14545734226703644,-0.14545734226703644,-0.14545734226703644,-0.14568233489990234,0.0030533333774656057,0.0030533333774656057,0.0030533333774656057,0.002453333232551813
1680791200302337881,31874,1680791200302337881,dvl,1680791190500699996,1500.0,11.965789794921875,55.26839828491211,1.3435744047164917,1.3435744047164917,1.3435744047164917,1.445531964302063,0.12468469142913818,-0.09666121006011963,-0.10750029236078262,0.12143121659755707,0.00012144719948992133,0.00038603367283940315,5.974432497168891e-05,0.00016514670278411359,0.011819666251540184,0.011594666168093681,0.011519666761159897,0.0117446668446064,-0.14593133330345154,-0.14615632593631744,-0.14623132348060608,-0.14600633084774017,0.0030533333774656057,0.0030533333774656057,0.0021533332765102386,0.0030533333774656057,0.012496285140514374,0.37894943356513977,0.009464919567108154,0.013652823865413666,0.00037074307329021394,0.00037074298597872257,7.454727892763913e-05,0.00023142834834288806,0.011707166209816933,0.011707166209816933,0.011819666251540184,0.01166966650635004,-0.1460438221693039,-0.1460438221693039,-0.14593133330345154,-0.1460813283920288,0.0032783334609121084,0.0032783334609121084,0.0030533333774656057,0.003203333355486393
1680791200426882478,31875,1680791200426882478,dvl,1680791190625699996,1500.0,11.96429443359375,55.2505989074707,1.445531964302063,1.3435744047164917,1.3435744047164917,1.445531964302063,0.12479186058044434,-0.09939607232809067,-0.10605578124523163,0.1200031042098999,0.00021498369460459799,0.0002354565222049132,9.179492917610332e-05,0.00010042663780041039,0.011519666761159897,0.0117446668446064,0.011594666168093681,0.011594666168093681,-0.1458343267440796,-0.14560933411121368,-0.14575932919979095,-0.14575932919979095,0.002453333232551813,0.0030533333774656057,0.002453333232551813,0.002453333232551813,0.010271109640598297,0.37891989946365356,0.010319561697542667,0.011358261108398438,0.0002916822850238532,0.0002916822559200227,0.00012875249376520514,0.0001410913682775572,0.0117446668446064,0.0117446668446064,0.011557166464626789,0.0117446668446064,-0.14560933411121368,-0.14560933411121368,-0.14579683542251587,-0.14560933411121368,0.0030533333774656057,0.0030533333774656057,0.0025283333379775286,0.0030533333774656057
1680791200551586295,31876,1680791200551586295,dvl,1680791190750699996,1500.0,11.969879150390625,55.22890090942383,1.445531964302063,1.3435744047164917,1.3435744047164917,1.445531964302063,0.12038077414035797,-0.11464863270521164,-0.10974247008562088,0.11947748064994812,0.00021293392637744546,0.0001556894858367741,0.0002024187269853428,0.0001011312851915136,0.01166966650635004,0.011519666761159897,0.011519666761159897,0.01166966650635004,-0.14537933468818665,-0.14552932977676392,-0.14552932977676392,-0.14537933468818665,0.002453333232551813,0.0021533332765102386,0.002453333232551813,0.0027533331885933876,-0.0027121156454086304,0.3906818926334381,0.00585941644385457,0.002661578357219696,0.0002926787128672004,0.0002926786837633699,0.0001618170499568805,0.00010232840577373281,0.01166966650635004,0.01166966650635004,0.011594666168093681,0.01166966650635004,-0.14537933468818665,-0.14537933468818665,-0.14545433223247528,-0.14537933468818665,0.0027533331885933876,0.0027533331885933876,0.0026033332105726004,0.0027533331885933876
1680791200677151523,31877,1680791200677151523,dvl,1680791190875699996,1500.0,11.964019775390625,55.23310089111328,1.445531964302063,1.3435744047164917,1.3435744047164917,1.445531964302063,0.12533551454544067,-0.10230807960033417,-0.1129528284072876,0.12098821997642517,0.0002936157980002463,0.00013786261843051761,0.0002941959537565708,0.00020479035447351635,0.01166966650635004,0.011444666422903538,0.011444666422903538,0.011969666928052902,-0.14614233374595642,-0.14636732637882233,-0.14636732637882233,-0.14584232866764069,0.0027533331885933876,0.0021533332765102386,0.002453333232551813,0.0030533333774656057,0.013269223272800446,0.3884662687778473,0.006820198614150286,0.010296188294887543,0.00040715833893045783,0.0004071582807227969,0.00022893206914886832,0.000136071044835262,0.011857166886329651,0.011857166886329651,0.011632166802883148,0.011932166293263435,-0.14595483243465424,-0.14595483243465424,-0.14617982506752014,-0.1458798348903656,0.0032783332280814648,0.0032783332280814648,0.0028283330611884594,0.0031283332500606775
1680791200802877852,31878,1680791200802877852,dvl,1680791191000900030,1500.0,11.962066650390625,55.2515983581543,1.445531964302063,1.3435744047164917,1.3435744047164917,1.445531964302063,0.13011863827705383,-0.10546030104160309,-0.10748224705457687,0.1276971995830536,0.00023316522128880024,5.27308729942888e-05,0.00016545694961678237,0.000149723666254431,0.011731666512787342,0.011656666174530983,0.011731666512787342,0.011581666767597198,-0.14638632535934448,-0.14646132290363312,-0.14638632535934448,-0.14653632044792175,0.0030533333774656057,0.002453333232551813,0.0030533333774656057,0.002453333232551813,0.004405006766319275,0.3961714506149292,0.012467801570892334,0.012256614863872528,0.0002754444140009582,0.00027544438489712775,0.00015747291035950184,8.749367407290265e-05,0.011731666512787342,0.011731666512787342,0.011731666512787342,0.01161916647106409,-0.14638632535934448,-0.14638632535934448,-0.14638632535934448,-0.14649882912635803,0.0030533333774656057,0.0030533333774656057,0.0030533333774656057,0.0025283333379775286
1680791200926865299,31879,1680791200926865299,dvl,1680791191125699996,1500.0,11.968292236328125,55.244998931884766,1.445531964302063,1.3435744047164917,1.3435744047164917,1.445531964302063,0.13212165236473083,-0.10541833937168121,-0.10203900188207626,0.13181953132152557,0.00016154913464561105,4.7767283831490204e-05,0.00023313921701628715,0.00010182790720136836,0.011594666168093681,0.011519666761159897,0.01166966650635004,0.011594666168093681,-0.14588132500648499,-0.14595632255077362,-0.14580632746219635,-0.14588132500648499,0.002453333232551813,0.0021533332765102386,0.0030533333774656057,0.002453333232551813,-0.0019230172038078308,0.39669954776763916,0.016569096595048904,0.014551900327205658,0.0002570932556409389,0.0002570932265371084,0.00015622537466697395,6.199436029419303e-05,0.01166966650635004,0.01166966650635004,0.01166966650635004,0.011594666168093681,-0.14580632746219635,-0.14580632746219635,-0.14580632746219635,-0.14588132500648499,0.0030533333774656057,0.0030533333774656057,0.0030533333774656057,0.002453333232551813
1680791201052356572,31880,1680791201052356572,dvl,1680791191250699996,1500.0,11.96478271484375,55.23780059814453,1.445531964302063,1.3435744047164917,1.3435744047164917,1.445531964302063,0.13562056422233582,-0.0995543822646141,-0.10922515392303467,0.13237406313419342,7.712822844041511e-05,0.00010386807116447017,0.00012017324479529634,0.00019079260528087616,0.011444666422903538,0.011519666761159897,0.011444666422903538,0.011594666168093681,-0.14633633196353912,-0.1462613344192505,-0.14633633196353912,-0.14618633687496185,0.0021533332765102386,0.002453333232551813,0.0021533332765102386,0.0030533333774656057,0.011544689536094666,0.40124601125717163,0.014538212679326534,0.018089670687913895,0.00021862552966922522,0.00021862548601347953,7.864945655455813e-05,0.00011973547225352377,0.011594666168093681,0.011594666168093681,0.011444666422903538,0.011594666168093681,-0.14618633687496185,-0.14618633687496185,-0.14633633196353912,-0.14618633687496185,0.0030533333774656057,0.0030533333774656057,0.0021533332765102386,0.0030533333774656057
1680791201176524694,31881,1680791201176524694,dvl,1680791191375699996,1500.0,11.96600341796875,55.23590087890625,1.445531964302063,1.3435744047164917,1.3435744047164917,1.445531964302063,0.14451774954795837,-0.09988340735435486,-0.10151609033346176,0.14078496396541595,0.00013073350419290364,0.00012652401346713305,7.94673032942228e-05,0.00011080990952905267,0.011700666509568691,0.011550666764378548,0.011475666426122189,0.011475666426122189,-0.14528733491897583,-0.1454373300075531,-0.14551232755184174,-0.14551232755184174,0.0027533331885933876,0.002453333232551813,0.0021533332765102386,0.0021533332765102386,0.005203530192375183,0.4095902740955353,0.02368471585214138,0.022544261068105698,0.00019130564760416746,0.00019130563305225223,8.42654553707689e-05,9.27023429539986e-05,0.011700666509568691,0.011700666509568691,0.011700666509568691,0.011550666764378548,-0.14528733491897583,-0.14528733491897583,-0.14528733491897583,-0.1454373300075531,0.0027533331885933876,0.0027533331885933876,0.0027533331885933876,0.002453333232551813
1680791201302282715,31882,1680791201302282715,dvl,1680791191500699996,1500.0,11.962127685546875,55.24760055541992,1.445531964302063,1.3435744047164917,1.3435744047164917,1.445531964302063,0.14898131787776947,-0.0897962898015976,-0.09162452071905136,0.1437397301197052,0.00012242532102391124,0.0001448091643396765,0.00013253024371806532,0.00032627268228679895,0.011625666171312332,0.011475666426122189,0.011550666764378548,0.01177566684782505,-0.14585033059120178,-0.14600032567977905,-0.14592532813549042,-0.14570032060146332,0.002453333232551813,0.0021533332765102386,0.0021533332765102386,0.0033533331006765366,0.006620064377784729,0.39902254939079285,0.03159132972359657,0.029732726514339447,0.0003362581192050129,0.00033625809010118246,9.937417053151876e-05,0.00019675276416819543,0.01177566684782505,0.01177566684782505,0.011625666171312332,0.01177566684782505,-0.14570032060146332,-0.14570032060146332,-0.14585033059120178,-0.14570032060146332,0.0033533331006765366,0.0033533331006765366,0.002453333232551813,0.0033533331006765366
