time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_stamp,field.acc0,field.acc1,field.acc2,field.gyro0,field.gyro1,field.gyro2,field.mag0,field.mag1,field.mag2,field.temperature
1680791200162749186,996046,1680791200162749186,,22000000000,-1.0214558839797974,-0.8319607973098755,9.451315879821777,0.039962559938430786,-0.0454622358083725,0.0009066110360436141,0.0,0.0,0.0,35.0
1680791200166788456,996047,1680791200166788456,,23000000000,-1.1235389709472656,-0.8049682974815369,9.387519836425781,0.04034756124019623,-0.0484488308429718,0.001870086183771491,0.0,0.0,0.0,35.0
1680791200170790799,996048,1680791200170790799,,24000000000,-0.9945659041404724,-0.7791123390197754,9.735103607177734,0.039678171277046204,-0.04707813635468483,0.0004990460001863539,0.0,0.0,0.0,35.0
1680791200174991075,996049,1680791200174991075,,25000000000,-0.7444844841957092,-0.4730561077594757,9.970176696777344,0.03894330561161041,-0.04964914917945862,0.0019609176088124514,0.0,0.0,0.0,35.0
1680791200178763558,996050,1680791200178763558,,26000000000,-1.0132108926773071,-0.7189851999282837,10.05927848815918,0.04533173516392708,-0.046132758259773254,0.0015309840673580766,0.0,0.0,0.0,35.0
1680791200182793491,996051,1680791200182793491,,27000000000,-0.9469399452209473,-0.9070913195610046,10.028453826904297,0.04800252243876457,-0.04762560874223709,0.0006936009740456939,0.0,0.0,0.0,35.0
1680791200186748556,996052,1680791200186748556,,28000000000,-0.996077835559845,-0.8048496842384338,10.192485809326172,0.04404566064476967,-0.04966355115175247,0.0015377072850242257,0.0,0.0,0.0,35.0
1680791200190806136,996053,1680791200190806136,,29000000000,-1.1851006746292114,-0.8205108046531677,9.86250114440918,0.0398869663476944,-0.05094445124268532,0.0015786078292876482,0.0,0.0,0.0,35.0
1680791200195012377,996054,1680791200195012377,,30000000000,-1.17058527469635,-0.7090596556663513,9.433462142944336,0.039124343544244766,-0.04587216302752495,0.0009559622267261147,0.0,0.0,0.0,35.0
1680791200198770105,996055,1680791200198770105,,31000000000,-0.7760149240493774,-0.7921290397644043,9.66781234741211,0.04167638346552849,-0.04552123695611954,-0.00041803569183684886,0.0,0.0,0.0,35.0
1680791200202812227,996056,1680791200202812227,,32000000000,-1.0150864124298096,-0.870567798614502,9.395438194274902,0.044882386922836304,-0.05704532563686371,0.0008178303251042962,0.0,0.0,0.0,35.0
1680791200206742500,996057,1680791200206742500,,33000000000,-1.3306095600128174,-0.9419097900390625,9.259830474853516,0.04214850440621376,-0.05142085999250412,0.0013340137666091323,0.0,0.0,0.0,35.0
1680791200210797406,996058,1680791200210797406,,34000000000,-0.9988515377044678,-1.0180160999298096,9.461246490478516,0.04039931297302246,-0.03943115100264549,0.00043899656157009304,0.0,0.0,0.0,35.0
1680791200215054819,996059,1680791200215054819,,35000000000,-0.5130295157432556,-0.8514962196350098,9.894569396972656,0.044011205434799194,-0.04163597151637077,0.001103448448702693,0.0,0.0,0.0,35.0
1680791200218797778,996060,1680791200218797778,,36000000000,-0.7748767733573914,-0.8922136425971985,9.817304611206055,0.04202411696314812,-0.05350838229060173,0.0017378352349624038,0.0,0.0,0.0,35.0
1680791200222766426,996061,1680791200222766426,,37000000000,-1.2456001043319702,-0.8380800485610962,9.741363525390625,0.04205614700913429,-0.052278704941272736,0.0014447892317548394,0.0,0.0,0.0,35.0
1680791200226782178,996062,1680791200226782178,,38000000000,-1.113546371459961,-0.6967883110046387,9.906733512878418,0.039073217660188675,-0.04923088848590851,0.0005688294768333435,0.0,0.0,0.0,35.0
1680791200230775068,996063,1680791200230775068,,39000000000,-0.9648407101631165,-0.7205739617347717,9.749735832214355,0.041321732103824615,-0.04547524452209473,0.0008706694352440536,0.0,0.0,0.0,35.0
1680791200234979249,996064,1680791200234979249,,40000000000,-0.9095661044120789,-0.7759860754013062,9.772467613220215,0.042448490858078,-0.04898000881075859,-0.00014311735867522657,0.0,0.0,0.0,35.0
1680791200238804042,996065,1680791200238804042,,41000000000,-0.9991444945335388,-0.7594653367996216,9.643850326538086,0.04222794994711876,-0.05058049038052559,0.0007652948843315244,0.0,0.0,0.0,35.0
1680791200242773213,996066,1680791200242773213,,42000000000,-0.9350075125694275,-0.7349611520767212,9.721479415893555,0.0434860922396183,-0.049080852419137955,0.0008887969306670129,0.0,0.0,0.0,35.0
1680791200246775328,996067,1680791200246775328,,43000000000,-0.9934378862380981,-0.7039976119995117,9.580485343933105,0.04448705539107323,-0.04926666244864464,0.00022201550018507987,0.0,0.0,0.0,35.0
1680791200250835970,996068,1680791200250835970,,44000000000,-1.1574269533157349,-0.8699964880943298,9.674857139587402,0.045126236975193024,-0.04550520330667496,0.00112756562884897,0.0,0.0,0.0,35.0
1680791200255046729,996069,1680791200255046729,,45000000000,-0.9848865270614624,-0.9770068526268005,9.865327835083008,0.04395071417093277,-0.046035077422857285,0.000148019302287139,0.0,0.0,0.0,35.0
1680791200258746417,996070,1680791200258746417,,46000000000,-0.8356066942214966,-0.8042382001876831,9.906973838806152,0.04038633406162262,-0.042700089514255524,0.0003214169992133975,0.0,0.0,0.0,35.0
1680791200262791895,996071,1680791200262791895,,47000000000,-0.8713793158531189,-0.8842548727989197,9.752924919128418,0.03841176629066467,-0.04462689533829689,0.00018348958110436797,0.0,0.0,0.0,35.0
1680791200266776850,996072,1680791200266776850,,48000000000,-0.7261254191398621,-0.6744104027748108,9.927186012268066,0.03957824409008026,-0.049199070781469345,0.0011893102200701833,0.0,0.0,0.0,35.0
