time,field.header.seq,field.header.stamp,field.header.frame_id,field.motor_refs0.id,field.motor_refs0.type,field.motor_refs0.ref,field.motor_refs1.id,field.motor_refs1.type,field.motor_refs1.ref,field.motor_refs2.id,field.motor_refs2.type,field.motor_refs2.ref,field.motor_refs3.id,field.motor_refs3.type,field.motor_refs3.ref,field.motor_refs4.id,field.motor_refs4.type,field.motor_refs4.ref,field.motor_refs5.id,field.motor_refs5.type,field.motor_refs5.ref,field.motor_refs6.id,field.motor_refs6.type,field.motor_refs6.ref,field.motor_refs7.id,field.motor_refs7.type,field.motor_refs7.ref,field.motor_refs8.id,field.motor_refs8.type,field.motor_refs8.ref,field.motor_refs9.id,field.motor_refs9.type,field.motor_refs9.ref,field.motor_refs10.id,field.motor_refs10.type,field.motor_refs10.ref,field.motor_refs11.id,field.motor_refs11.type,field.motor_refs11.ref
1680791200164670243,968359,1680791200164670243,,12,0,-0.5376990323046271,11,0,-0.37794440791693806,10,0,0.5480896135069324,9,0,0.38833498911924347,4,0,-0.2600168360160717,8,0,-0.16078777205013567,2,0,-0.2366622011924795,6,0,-0.12694319979109503,3,0,0.2298246388627953,7,0,0.12010563746141084,1,0,0.26685439834575586,5,0,0.16762533437981986
1680791200174671912,968360,1680791200174671912,,12,0,-0.5373013768808013,11,0,-0.37880801842661493,10,0,0.5479240856503627,9,0,0.38943072719617644,4,0,-0.2592049451905406,8,0,-0.16028973625178047,2,0,-0.23563978162527033,6,0,-0.12628632426359807,3,0,0.2287455392905311,7,0,0.11939208192885883,1,0,0.26609918752527983,5,0,0.1671839785865197
1680791200184671953,968361,1680791200184671953,,12,0,-0.5350746810457412,11,0,-0.37835256781782584,10,0,0.5454191790038319,9,0,0.3886970657759164,4,0,-0.2592116801020416,8,0,-0.16211980057604294,2,0,-0.23299255175947378,6,0,-0.12324725965816863,3,0,0.22600654183979021,7,0,0.11626124973848509,1,0,0.26619769002172516,5,0,0.1691058104957265
1680791200194706254,968362,1680791200194706254,,12,0,-0.530803075334577,11,0,-0.37621671311518334,10,0,0.5405241151632184,9,0,0.3859377529438246,4,0,-0.2597444154018825,8,0,-0.16575291293090288,2,0,-0.22883183136330063,6,0,-0.11813156266423548,3,0,0.22168016662869727,7,0,0.11097989792963213,1,0,0.26689608013648586,5,0,0.1729045776655062
1680791200204671548,968363,1680791200204671548,,12,0,-0.5280399030139754,11,0,-0.3765881972713551,10,0,0.5376304964875634,9,0,0.38617879074494327,4,0,-0.258538770535466,8,0,-0.16661740623284635,2,0,-0.22518828089851356,6,0,-0.11462211882166565,3,0,0.2179093023675866,7,0,0.10734314029073869,1,0,0.26581774906639294,5,0,0.1738963847637733
1680791200214666952,968364,1680791200214666952,,12,0,-0.5274735640747703,11,0,-0.37851119361229485,10,0,0.5373124338272524,9,0,0.3883500633647768,4,0,-0.256661581060487,8,0,-0.16523392672081583,2,0,-0.22344521776243814,6,0,-0.11369874541216193,3,0,0.21613176080568647,7,0,0.10638528845541023,1,0,0.26397503801723865,5,0,0.1725473836775675
1680791200224666783,968365,1680791200224666783,,12,0,-0.5255127820628168,11,0,-0.37880691608677003,10,0,0.5342332269426592,9,0,0.3875273609666125,4,0,-0.25810982519518777,8,0,-0.16812624429530212,2,0,-0.22058272156731876,6,0,-0.11109617203471947,3,0,0.21753594743278556,7,0,0.10804939790018628,1,0,0.26115659932972096,5,0,0.17117301842983532
1680791200234671367,968366,1680791200234671367,,12,0,-0.5211458256359324,11,0,-0.3772871805768114,10,0,0.52744573195917,9,0,0.3835870869000489,4,0,-0.26210651283562375,8,0,-0.17488750199620998,2,0,-0.21561825719682098,6,0,-0.10609810162463681,3,0,0.22110210732832855,7,0,0.11158195175614438,1,0,0.25662266270411616,5,0,0.16940365186470238
1680791200244673376,968367,1680791200244673376,,12,0,-0.518849291429732,11,0,-0.37724151117317295,10,0,0.5241947753820659,9,0,0.38258699512550687,4,0,-0.2631101148572882,8,0,-0.1774322012144386,2,0,-0.21264922800076577,6,0,-0.10335071888837927,3,0,0.22162820797502722,7,0,0.11232969886264071,1,0,0.25413113488302674,5,0,0.16845322124017714
1680791200254668528,968368,1680791200254668528,,12,0,-0.5186611140481477,11,0,-0.3784753041207401,10,0,0.5245052914024587,9,0,0.3843194814750512,4,0,-0.26135833396228153,8,0,-0.17570385379587808,2,0,-0.21259094861188021,6,0,-0.10394323176458646,3,0,0.22003755040882728,7,0,0.1113898335615335,1,0,0.25391173216533447,5,0,0.16825725199893102
1680791200264668962,968369,1680791200264668962,,12,0,-0.5180114853137449,11,0,-0.3794339398065004,10,0,0.5240998350606475,9,0,0.38552228955340306,4,0,-0.26014301635888565,8,0,-0.17451182280121783,2,0,-0.21290596858142846,6,0,-0.10514210013365939,3,0,0.21968910436057165,7,0,0.11192523591280261,1,0,0.25335988057974246,5,0,0.16772868702207464
1680791200274668354,968370,1680791200274668354,,12,0,-0.5162194034193952,11,0,-0.37874473771080336,10,0,0.5218400269078884,9,0,0.3843653611992967,4,0,-0.2606812108564895,8,0,-0.17580565926878858,2,0,-0.21502025343873335,6,0,-0.1075260245977085,3,0,0.22022198886559163,7,0,0.11272776002456679,1,0,0.25547947542963123,5,0,0.17060392384193032
1680791200284673228,968371,1680791200284673228,,12,0,-0.5132791660105526,11,0,-0.3757864952813602,10,0,0.5179867499236294,9,0,0.380494079194437,4,0,-0.2624084753052469,8,0,-0.17868840451298537,2,0,-0.21947726514448918,6,0,-0.11164181653309253,3,0,0.221158605426925,7,0,0.11332315681552839,1,0,0.2607271350228111,5,0,0.17700706423054954
1680791200294669026,968372,1680791200294669026,,12,0,-0.5116683313894623,11,0,-0.37512684967797716,10,0,0.5160185017391408,9,0,0.3794770200276556,4,0,-0.26242416350041137,8,0,-0.17946267205230934,2,0,-0.2207094486767122,6,0,-0.1130099200593266,3,0,0.22081243500155875,7,0,0.11311290638417319,1,0,0.2623211771755648,5,0,0.17935968572746278
